question,A,B,C,D,correct,topics,difficulty,source
A tariff is a:,Tax on imports,Subsidy to exporters,Quota on exports,Non-tariff barrier,A,Trade|Protectionism,1,original
If a country runs a current account surplus, it is:,A net lender to the rest of the world,A net borrower,Experiencing only capital outflows,Necessarily growing faster,A,Balance of Payments|Trade,3,original
If YED for a good is negative, the good is:,Inferior,Normal,Luxury,Giffen,A,Elasticity|YED,2,original
Price discrimination requires:,Market power and ability to segment markets,Perfect information only,Zero marginal cost,Homogeneous demand,A,Market Structures|Monopoly,3,original
A minimum price above equilibrium causes:,Excess supply,Excess demand,No change,Black markets only,A,Government Intervention|Price Controls,2,original
An increase in productivity is likely to:,Shift LRAS to the right,Shift AD left,Increase price level in SR,Reduce potential output,A,Macro|Supply-side,2,original
If total revenue rises when price falls, demand is likely:,Elastic,Inelastic,Unit elastic,Perfectly inelastic,A,Elasticity|Revenue,2,original
With PED = -0.5, a 10% price rise changes quantity demanded by:,5% fall,10% fall,20% fall,No change,A,Elasticity|PED,2,original
If MPC = 0.75, the simple multiplier is:,4,3,1.33,0.25,A,Macro|Multiplier,2,original
If the central bank raises base rate, ceteris paribus:,Investment may fall due to higher borrowing costs,Investment will rise,Government spending rises automatically,Exports definitely rise,A,Macro|Monetary Policy,2,original
If a good has many close substitutes, its PED is likely:,High in magnitude (elastic),Low in magnitude (inelastic),Zero,Undefined,A,Elasticity|PED,1,original
A subsidy to consumers is likely to:,Shift demand to the right,Shift supply right,Shift supply left,Shift demand left,A,Government Intervention|Subsidy,2,original
A common resource (common-pool) good is:,Rival but non-excludable,Non-rival and excludable,Non-rival and non-excludable,Rival and excludable,A,Common Resources|Environment,3,original
Pigouvian tax aims to:,Internalise a negative externality,Subsidise positive externalities,Set price ceilings,Eliminate public goods,A,Externalities|Government,3,original
If a market exhibits asymmetric information:,One party has more/better information than the other,Both sides are perfectly informed,It guarantees market failure,It eliminates moral hazard,A,Information Failure|Market Failure,2,original
Which policy best reduces structural unemployment?,Retraining and education,Raising interest rates,Cutting VAT temporarily,Imposing tariffs,A,Labour Market|Supply-side,2,original
At the profit-maximising output for a monopoly:,MR = MC,AR = MC,MR = AR,AC = AR,A,Market Structures|Monopoly,3,original
In the long run under perfect competition:,Firms produce at minimum average cost,Firms earn supernormal profits,Firms set P > MC,Output is allocatively inefficient,A,Market Structures|Perfect Competition,3,original
A kinked demand curve is usually associated with:,Oligopoly,Perfect competition,Monopoly,Monopsony,A,Market Structures|Oligopoly,3,original
Contestable markets are characterised by:,Low barriers to entry and exit,High sunk costs,Few potential entrants,Zero hit-and-run entry,A,Market Structures|Contestability,3,original
If CPI inflation is 3% and nominal wage growth 2%, real wages:,Fall ~1%,Rise ~1%,Unchanged,Rise ~5%,A,Macro|Inflation,1,original
If unemployment is above the natural rate, there is likely a:,Negative output gap,Positive output gap,Balance of payments deficit,Budget surplus,A,Macro|Output Gap,2,original
If the central bank targets 2% inflation, then at 0% inflation with slack demand it is likely to:,Lower policy rates or ease policy,Raise taxes,Cut money supply aggressively,Impose price controls,A,Macro|Monetary Policy,2,original
If government pursues contractionary fiscal policy, AD is likely to:,Shift left,Shift right,Stay the same,Increase multiplier,A,Macro|Fiscal Policy,1,original
If the exchange rate depreciates, imports become:,More expensive,Cheaper,Unaffected,Subsidised,A,Macro|Exchange Rate,1,original
